

Condition Numbers: Presented in Randomized Order
Condition 1: Bodyscan ~ Mindfulness
Condition 2: Safe Place ~ Relaxation
Condition 3: Podcast ~ Control 


1. General Triggers

10	Resting state start
11	Resting state end
12	General Instructions start   % Erklärung Ablauf Experiment 
99	Final Instructions start     % Wird ganz am Ende nach allen Blocks präsentiert - Experiment endet



2. Condition-Specific Triggers

31	Pre-Condition Instructions for Condition 1 (Mindfulness)                    %Instructions: Nun folgt Audio, bitte Augen zumachen und aufmerksam zuhören...
21	Condition 1 (Mindfulness) Audio Start                                       %Audio File startet 
41	End-Condition Instructions for Condition 1 (Mindfulness)                    %Instructions: Nun folgen Fragen zur eben gehörten Audio....
1021	End Condition Questionnaire for Condition 1 (Mindfulness)               %Instructions: Hier endet der mündliche Teil, bitte Fragebogen ausfüllen... 
2021	Between-Conditions Instructions                                         %Instructions nach 1. Block: Hier endet die Übung, bald startet die nächste...


32	Pre-Condition Instructions for Condition 2 (Relaxation)                     %Instructions: Nun folgt Audio, bitte Augen zumachen und aufmerksam zuhören
22	Condition 2 (Relaxation) Audio Start                                        %Audio File startet 
42	End-Condition Instructions for Condition 2 (Relaxation)                     %Instructions: Nun folgen Fragen zur eben gehörten Audio....
1022	End Condition Questionnaire for Condition 2 (Relaxation)                %Instructions: Hier endet der mündliche Teil, bitte Fragebogen ausfüllen... 
2022	Between-Conditions Instructions                                         %Instructions: nach 2. Block: Hier endet die Übung, bald startet die nächste...

33	Pre-Condition Instructions for Condition 3 (Podcast)                        %Instructions: Nun folgt Audio, bitte Augen zumachen und aufmerksam zuhören...
23	Condition 3 (Podcast) Audio Start                                           %Audio File startet
43	End-Condition Instructions for Condition 3 (Podcast)                        %Instructions: Nun folgen Fragen zur eben gehörten Audio....
1023	End Condition Questionnaire for                                         %Instructions: Hier endet der mündliche Teil, bitte Fragebogen ausfüllen...



3. Question-Specific Triggers    

% bisschen unlucky gelaufen beim Coden aber kein problem, da die Recordings eh immer pro Block sind
% die Zahlen sind immer spezifisch für die jeweilige Bedingung und nicht pauschal über alle Bedingungen
% sprich 123 bei Condition 2 ist nicht dasselbe 123 wie bei condition one.
% Aufpassen hier: Im MEG benennung der Daten: VP COde _ condition _ Audiofile. ACHTUNG Condition Nummver im name entspricht
% nicht den conditions below. Im MEG File Namen bezeichnet das die REIHENFOLGE. Sprich es kommt auf 
% die Audiofile drauf an!
% Sprich alles unten bezieht sich auf
Condition 1: Bodyscan ~ Mindfulness
Condition 2: Safe Place ~ Relaxation
Condition 3: Podcast ~ Control
% condition1 2 oder 3 im MEG file bezieht sich auf die REIHENFOLGE!!

122	Condition 1, Question 1 played                                              %Audio Question File starting
222	Next question instruction after Condition 1, Question 1                     %Instructions: Danke für die Antwort, weiter gehts mit der nächsten Frage
123	Condition 1, Question 2 played
223	Next question instruction after Condition 1, Question 2
124	Condition 1, Question 3 played
224	Next question instruction after Condition 1, Question 3
125	Condition 1, Question 4 played
225	Next question instruction after Condition 1, Question 4
126	Condition 1, Question 5 played


123	Condition 2, Question 1 played
223	Next question instruction after Condition 2, Question 1
124	Condition 2, Question 2 played
224	Next question instruction after Condition 2, Question 2
125	Condition 2, Question 3 played
225	Next question instruction after Condition 2, Question 3
126	Condition 2, Question 4 played
226	Next question instruction after Condition 2, Question 4
127	Condition 2, Question 5 played


124	Condition 3, Question 1 played
224	Next question instruction after Condition 3, Question 1
125	Condition 3, Question 2 played
225	Next question instruction after Condition 3, Question 2
126	Condition 3, Question 3 played
226	Next question instruction after Condition 3, Question 3
127	Condition 3, Question 4 played
227	Next question instruction after Condition 3, Question 4
128	Condition 3, Question 5 played
